,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
0,[170 -02] 3204,0F19,"1,044,277","544,277","500,000","500,000"
1,[170 -02] 3204,0F55,"9,534,531","4,034,531","5,500,000","5,500,000"
2,[170 -02] 37887,0F16,"6,869,012","6,829,586","39,426","39,426"
3,[170 -02] 37887,0F19,"17,062,461","17,062,461",0,0
4,[170 -02] 38307,0F19,"7,991,422","7,991,422",0,0
5,[170 -02] 38307,0F47,"9,667,097","9,477,691","189,406","189,406"
6,[170 -02] 38309,0F19,"4,226,809","4,226,809",0,0
7,[170 -02] 38309,0F47,"21,291,731","21,291,731",0,0
8,[170 -02] 38309,SBOF,"1,695,405",0,"1,695,405","1,695,405"
12,[170 -02] 38310,0F19,"5,213,859","5,213,859",0,0
13,[170 -02] 38310,0F47,"8,348,927","8,345,305","3,622","3,622"
14,[170 -02] 39007,0F16,"4,270,599",0,"4,270,599","4,270,599"
15,[170 -02] 39007,0F47,"21,670,475","15,101,279","6,569,196","6,569,196"
16,[170 -02] 39021,0F16,"100,000",0,"100,000","100,000"
17,[170 -02] 39021,0F47,"229,000","229,000",0,0
18,[170 -02] 39022,0F47,"11,300,000","6,770,000","4,530,000","4,530,000"
19,[170 -02] 39023,0F47,"5,300,000","4,800,000","500,000","500,000"
20,[170 -02] 39025,0F47,"7,902,117","5,902,117","2,000,000","2,000,000"
21,[170 -02] 39026,0F47,"1,940,000","1,110,000","830,000","830,000"
22,[170 -02] 39031,0F47,"6,000,000","5,949,044","50,956","50,956"
23,[170 -02] 39036,0F06,"3,224,207",0,"3,224,207","3,224,207"
24,[170 -02] 39036,0F24,"4,100,000","4,100,000",0,0
25,[170 -02] 39036,0F47,"20,302,027","20,302,027",0,0
26,[170 -02] 39468,0F24,"530,000","240,260","289,740","289,740"
27,[170 -02] 39561,0F19,"666,875",0,"666,875","666,875"
28,[170 -02] 39561,0F59,"4,953,853",0,"4,953,853","4,953,853"
29,[170 -02] 39567,SBOF,"304,343",0,0,"304,343"
30,[170 -02] 39567,SEPA,"2,739,088",0,0,"2,739,088"
31,[170 -02] 39568,SEPA,"4,930,621",0,0,"4,930,621"
32,[170 -02] 39568,SPGO,"547,847",0,0,"547,847"
33,[170 -02] 39570,0F19,"165,039",0,"165,039","165,039"
34,[170 -02] 39570,0F59,"1,606,620",0,"1,606,620","1,606,620"
35,[170 -02] 39575,SEPA,"4,500,000",0,0,"4,500,000"
36,[170 -02] 39575,SPGO,"500,000",0,0,"500,000"
37,[170 -02] 39578,0F19,"1,000,000",0,"1,000,000","1,000,000"
38,[170 -02] 39578,0F47,"2,000,000",0,"2,000,000","2,000,000"
39,[170 -02] 39578,SBOF,"20,780,000",0,"17,650,000","20,780,000"
40,[170 -02] 39722,0F19,"4,000,000",0,"4,000,000","4,000,000"
41,[170 -02] 39722,SPGO,"9,560,000",0,0,"9,560,000"
42,[170 -02] 39723,0F19,"1,500,000",0,"1,500,000","1,500,000"
43,[170 -02] 39723,0F47,"4,500,000",0,"4,500,000","4,500,000"
44,[170 -02] 39723,SPGO,"8,500,000",0,0,"8,500,000"
45,[170 -02] 39734,0F47,"3,500,000",0,"3,500,000","3,500,000"
46,[170 -02] 39734,SBOF,"6,580,000",0,"6,580,000","6,580,000"
47,[170 -02] 39734,SPGO,"5,430,000",0,0,"5,430,000"
48,[170 -02] 39736,0F47,"1,500,000",0,"1,500,000","1,500,000"
49,[170 -02] 39736,SPGO,"3,500,000",0,"1,500,000","3,500,000"
50,[170 -02] 39737,0F47,"960,000",0,"960,000","960,000"
51,[170 -02] 39738,0F47,"2,000,000",0,"1,130,000","2,000,000"
52,[170 -02] 39740,0F47,"300,000",0,"300,000","300,000"
53,[170 -02] 39745,0F19,"974,000",0,"974,000","974,000"
54,[170 -02] 40110,SBOF,"3,190,000",0,0,"3,190,000"
55,[170 -02] 40110,SPGO,"21,060,000",0,0,"21,060,000"
56,[170 -02] 40123,0F19,"305,767","305,767",0,0
57,[170 -02] 40123,0F52,"2,458,594","2,458,594",0,0
58,[170 -02] 40128,0F19,"214,263",0,"214,263","214,263"
59,[170 -02] 40128,0F59,"1,690,172",0,"1,690,172","1,690,172"
60,[170 -02] 40131,SEPA,"1,597,742",0,0,"1,597,742"
61,[170 -02] 40131,SPGO,"177,527",0,0,"177,527"
62,[170 -02] 40133,0F19,"520,742",0,"520,742","520,742"
63,[170 -02] 40133,0F59,"3,372,605",0,"3,372,605","3,372,605"
64,[170 -02] 40141,0F19,"446,941",0,"446,941","446,941"
65,[170 -02] 40141,0F59,"4,311,460",0,"4,311,460","4,311,460"
66,[170 -02] 40376,SBOF,"9,760,000",0,0,"9,760,000"
67,[170 -02] 40376,SPGO,"9,760,000",0,0,"9,760,000"
68,[170 -02] 40377,SBOF,"8,670,000",0,0,"8,670,000"
69,[170 -02] 40377,SPGO,"6,120,000",0,0,"6,120,000"
70,[170 -02] 40378,SPGO,"4,000,000",0,0,"4,000,000"
71,[170 -02] 40382,SBOF,"5,530,000",0,0,"5,530,000"
72,[170 -02] 40382,SPGO,"10,280,000",0,0,"10,280,000"
73,[170 -02] 40383,SBOF,"2,100,000",0,0,"2,100,000"
74,[170 -02] 40383,SPGO,"3,900,000",0,0,"3,900,000"
75,[170 -02] 40384,SPGO,"980,000",0,0,"980,000"
76,[170 -02] 40385,SBOF,"890,000",0,0,"890,000"
77,[170 -02] 40385,SPGO,"1,150,000",0,0,"1,150,000"
78,[170 -02] 40386,SBOF,"900,000",0,0,"900,000"
79,[170 -02] 40389,SBOF,"300,000",0,0,"300,000"
80,[170 -02] 40391,SBOF,"3,000,000",0,0,"3,000,000"
81,[170 -02] 40413,SBOF,"111,000,000",0,"8,000,000","111,000,000"
82,[170 -02] 40413,SPGO,"25,000,000",0,0,"25,000,000"
83,[170 -02] 40456,SBOF,"4,000,000",0,"4,000,000","4,000,000"
84,[170 -02] 40461,SEPA,"56,126,340",0,0,"56,126,340"
85,[170 -02] 40461,SPGO,"14,576,492",0,0,"14,576,492"
86,[170 -02] 40462,0J63,"4,750,000",0,"4,750,000","4,750,000"
87,[170 -02] 40566,0C69,"2,500,000",0,"2,500,000","2,500,000"
88,[170 -02] 40566,0F19,"4,704,641","4,704,641",0,0
89,[170 -02] 40566,SPGO,"2,650,000",0,0,"2,650,000"
90,[170 -02] 40700,0F19,"2,591,161","2,591,161",0,0
91,[170 -02] 40700,0F46,"9,608,132","7,758,467","1,849,665","1,849,665"
92,[170 -02] 40717,0F19,"1,700,000","1,638,382","61,618","61,618"
93,[170 -02] 40717,0F46,"4,448,815","3,653,258","795,557","795,557"
94,[170 -02] 40718,0F19,"1,500,000","1,067,029","432,971","432,971"
95,[170 -02] 40718,0F46,"3,196,966","2,572,848","624,118","624,118"
96,[170 -02] 40773,0F19,"436,331","243,846","192,485","192,485"
97,[170 -02] 40773,0F52,"7,634,955","6,044,128","1,590,827","1,590,827"
98,[170 -02] 40774,0F19,"471,735",122,"471,613","471,613"
99,[170 -02] 40774,0F55,"12,921,738","1,483,627","11,438,111","11,438,111"
100,[170 -02] 40775,0F19,"623,894","59,840","564,054","564,054"
101,[170 -02] 40775,0F55,"3,868,575","2,807,989","1,060,586","1,060,586"
102,[170 -02] 40776,0F19,"2,405,789","1,996,688","409,101","409,101"
103,[170 -02] 40776,0F46,"6,796,373","5,940,462","855,911","855,911"
104,[170 -02] 40777,0F19,"1,300,000","1,300,000",0,0
105,[170 -02] 40777,0F46,"6,772,959","5,777,225","995,734","995,734"
106,[170 -02] 40778,0F19,"1,494,633","263,139","1,231,494","1,231,494"
107,[170 -02] 40778,0F52,"5,445,069","3,604,973","1,840,096","1,840,096"
108,[170 -02] 40779,0F19,"779,938","540,769","239,169","239,169"
109,[170 -02] 40779,0F52,"3,770,260","3,145,948","624,312","624,312"
110,[170 -02] 40780,0F19,"928,615","215,264","713,351","713,351"
111,[170 -02] 40780,0F55,"4,407,001","3,632,133","774,868","774,868"
112,[170 -02] 40912,SBOF,"9,950,000",0,0,"9,950,000"
113,[170 -02] 40912,SPGO,"9,950,000",0,0,"9,950,000"
114,[170 -02] 40913,SBOF,"15,080,000",0,0,"15,080,000"
115,[170 -02] 40914,SBOF,"4,000,000",0,0,"4,000,000"
116,[170 -02] 40915,SBOF,"24,750,000",0,0,"24,750,000"
117,[170 -02] 40917,SBOF,"16,120,000",0,0,"16,120,000"
118,[170 -02] 40918,SBOF,"6,310,000",0,0,"6,310,000"
119,[170 -02] 40919,SBOF,"1,000,000",0,0,"1,000,000"
120,[170 -02] 40920,SBOF,"2,090,000",0,0,"2,090,000"
121,[170 -02] 40921,SBOF,"900,000",0,0,"900,000"
122,[170 -02] 40922,SBOF,"300,000",0,0,"300,000"
123,[170 -02] 41000,0F19,"730,312",0,"730,312","730,312"
124,[170 -02] 41000,0F59,"3,688,078",0,"3,688,078","3,688,078"
125,[170 -02] 41001,0F19,"548,712",0,"548,712","548,712"
126,[170 -02] 41001,0F59,"4,325,961",0,"4,325,961","4,325,961"
127,[170 -02] 41002,0F19,"195,422",0,"195,422","195,422"
128,[170 -02] 41002,0F59,"1,660,308",0,"1,660,308","1,660,308"
129,[170 -02] 41005,0F19,"891,176",0,"891,176","891,176"
130,[170 -02] 41005,0F59,"10,041,552",0,"10,041,552","10,041,552"
131,[170 -02] 41308,SBOF,"20,300,000",0,0,"20,300,000"
132,[170 -02] 41310,SBOF,"15,390,000",0,0,"15,390,000"
133,[170 -02] 41312,SPGO,"4,000,000",0,0,"4,000,000"
134,[170 -02] 41313,SBOF,"25,240,000",0,0,"25,240,000"
135,[170 -02] 41316,SBOF,"16,450,000",0,0,"16,450,000"
136,[170 -02] 41317,SBOF,"6,620,000",0,0,"6,620,000"
137,[170 -02] 41318,SPGO,"1,020,000",0,0,"1,020,000"
138,[170 -02] 41319,SBOF,"2,120,000",0,0,"2,120,000"
139,[170 -02] 41320,SPGO,"900,000",0,0,"900,000"
140,[170 -02] 41321,SBOF,"300,000",0,0,"300,000"
141,[170 -02] 41322,SBOF,"4,780,000",0,0,"4,780,000"
142,[170 -02] 41322,SPGO,"530,000",0,0,"530,000"
143,[170 -02] 41421,0F19,"200,000",0,"200,000","200,000"
144,[170 -02] 41927,0F19,"292,066",0,"292,066","292,066"
145,[170 -02] 41927,0F59,"2,595,521",0,"2,595,521","2,595,521"
146,[170 -02] 41994,SPGO,"10,350,000",0,0,"10,350,000"
147,[170 -02] 41995,SBOF,"15,700,000",0,0,"15,700,000"
148,[170 -02] 41997,SBOF,"4,000,000",0,0,"4,000,000"
149,[170 -02] 41998,SBOF,"22,350,000",0,0,"22,350,000"
150,[170 -02] 42000,SBOF,"4,390,000",0,0,"4,390,000"
151,[170 -02] 42001,SBOF,"1,040,000",0,0,"1,040,000"
152,[170 -02] 42002,SBOF,"1,220,000",0,0,"1,220,000"
153,[170 -02] 42003,SPGO,"900,000",0,0,"900,000"
154,[170 -02] 42004,SBOF,"300,000",0,0,"300,000"
155,[170 -02] 42005,SBOF,"4,870,000",0,0,"4,870,000"
156,[170 -02] 42042,SBOF,"10,910,000",0,0,"10,910,000"
