,Project_#,Project_Location
0,[170 -02] 3204,On E 130th St From S Torrence Ave To S Brandon Ave
1,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave
2,[170 -02] 37887,On S Avenue J From E 104th St To E 103rd St
3,[170 -02] 37887,W Palatine Ave And N Natoma Ave
4,[170 -02] 37887,W Ardmore Ave And N Austin Ave
5,[170 -02] 37887,W 77th St And S Perry Ave
6,[170 -02] 37887,W 73rd St And S Kedzie Ave
7,[170 -02] 37887,W 65th St And S Lawndale Ave
8,[170 -02] 37887,W 58th St And S Halsted St
9,[170 -02] 37887,W 52nd St And S Kedzie Ave
10,[170 -02] 37887,W 107th St And S Morgan St
11,[170 -02] 37887,W Polk St And S Pulaski Rd
12,[170 -02] 37887,S Morgan St And W 107th St
13,[170 -02] 37887,S Kostner Ave And W 81st Pl
14,[170 -02] 37887,S Emerald Ave And W 79th St
15,[170 -02] 37887,S Ashland Ave And W 108th Pl
16,[170 -02] 37887,N Sheffield Ave And W Wellington Ave
17,[170 -02] 37887,N Drake Ave And W Foster Ave
18,[170 -02] 37887,On W 77th St From S Union Ave To S Lowe Ave
19,[170 -02] 37887,On S Halsted St From W 78th St To W 79th St
20,[170 -02] 37887,S Perry Ave And W Marquette Rd
21,[170 -02] 37887,W 58th Pl And S Hamlin Ave
22,[170 -02] 37887,W 59th St And S Nashville Ave
23,[170 -02] 37887,W Madison St And N Menard Ave
24,[170 -02] 37887,W 77th St And S Emerald Ave
25,[170 -02] 37887,W 79th St And S Karlov Ave
26,[170 -02] 37887,W 52nd St And S Francisco Ave
27,[170 -02] 37887,W 66th St And S Pulaski Rd
28,[170 -02] 37887,W 104th St And S Hoyne Ave
29,[170 -02] 37887,N Washtenaw Ave And W Argyle St
30,[170 -02] 37887,S Lafayette Ave And W 115th St
31,[170 -02] 37887,S Karlov Ave And W 79th St
32,[170 -02] 37887,S Carpenter St And W 64th St
33,[170 -02] 37887,N Elston Ave And W Augusta Blvd
34,[170 -02] 37887,E 43rd St And S Vernon Ave
35,[170 -02] 37887,On W 62nd St From S Ashland Ave To S Laflin St
36,[170 -02] 37887,On S Green Bay Ave From E 103rd St To E 106th St
37,[170 -02] 37887,W Palmer St And N Cicero Ave
38,[170 -02] 37887,S Perry Ave And W 68th St
39,[170 -02] 37887,7503-7859 S Emerald Ave
40,[170 -02] 38307,On S Ada St From W 79th St To W 77th St
41,[170 -02] 38307,On W 77th St From S Loomis Blvd To S Bishop St
42,[170 -02] 38307,On W 77th St From S Ada St To S Throop St
43,[170 -02] 38309,On E 86th St From S Jeffery Blvd To S Cregier Ave
44,[170 -02] 38309,On W 50th St From S Western Ave To S Oakley Ave
45,[170 -02] 38309,On W 54th St From S Kenneth Ave To S Kolin Ave
46,[170 -02] 38309,On W 62nd St From S Hamlin Ave To S Lawndale Ave
47,[170 -02] 38309,On W Albion Ave From N Sayre Ave To N Nixon Ave
48,[170 -02] 38309,On W Byron St From N Sayre Ave To N Nottingham Ave
49,[170 -02] 38309,On W Carmen Ave From N Ravenswood Ave To N Paulina St
50,[170 -02] 38309,On W Cortland St From N Sayre Ave To N Neva Ave
51,[170 -02] 38309,On W Estes Ave From N Ionia Ave To N Mason Ave
52,[170 -02] 38309,On W Hirsch St From N Spaulding Ave To N Kedzie Ave
53,[170 -02] 38309,On W Madison St From S Francisco Ave To S Sacramento Blvd
54,[170 -02] 38309,On W Ohio St From N Kedzie Ave To N Albany Ave
55,[170 -02] 38309,On W School St From N Octavia Ave To N Oconto Ave
56,[170 -02] 38309,On W School St From N Western Ave To N Claremont Ave
57,[170 -02] 38309,On W Washington Blvd From N Laramie Ave To N Latrobe Ave
58,[170 -02] 38309,On W Winnemac Ave From N Glenwood Ave To N Clark St
59,[170 -02] 38309,N Kentucky Ave And N Kilbourn Ave
60,[170 -02] 38309,N Oketo Ave And W School St
61,[170 -02] 38309,N Spaulding Ave And N Elston Ave
62,[170 -02] 38309,S Christiana Ave And W 54th St
63,[170 -02] 38309,S Drake Ave And W Cermak Rd
64,[170 -02] 38309,S Lafayette Ave And W 122nd St
65,[170 -02] 38309,S Perry Ave And W 122nd St
66,[170 -02] 38309,W 60th St And W 62nd St
67,[170 -02] 38309,On W 46th St From S Laflin St To S Bishop St
68,[170 -02] 38309,On W 122nd St From S Perry Ave To S Lafayette Ave
69,[170 -02] 38309,W Cullom Ave And N Campbell Ave
70,[170 -02] 38309,On W 101st St From S Oakley Ave To S Bell Ave
71,[170 -02] 38309,On W 108th St From S Sacramento Ave To S Troy St
72,[170 -02] 38309,On N Fairfield Ave From W Augusta Blvd To W Iowa St
73,[170 -02] 38309,On N Hoyne Ave From W Moffat St To W Churchill St
74,[170 -02] 38309,On N Keeler Ave From N Sauganash Ave To W Glenlake Ave
75,[170 -02] 38309,On N Kenneth Ave From W Lawrence Ave To W Ainslie St
76,[170 -02] 38309,On N Kilbourn Ave From W Carmen Ave To N Kentucky Ave
77,[170 -02] 38309,On N Laporte Ave From W Palmer St To W Belden Ave
78,[170 -02] 38309,On N Leavitt St From W Waveland Ave To W Bradley Pl
79,[170 -02] 38309,On N Lotus Ave From W Addison St To W Waveland Ave
80,[170 -02] 38309,On N Lowell Ave From W Ainslie St To W Argyle St
81,[170 -02] 38309,On N Menard Ave From W Lawrence Ave To W Strong St
82,[170 -02] 38309,On N Nordica Ave From W Devon Ave To W Albion Ave
83,[170 -02] 38309,On N Leamington Ave From W Grand Ave To W Dickens Ave
84,[170 -02] 38309,On N Sayre Ave From W Grace St To W Irving Park Rd
85,[170 -02] 38309,On S Bell Ave From W 101st St To W 102nd St
86,[170 -02] 38309,On S Dorchester Ave From E Hyde Park Blvd To E 50th St
87,[170 -02] 38309,On S Hartwell Ave From E Marquette Rd To E 66th Pl
88,[170 -02] 38309,On S Whipple St From W 107th St To W 106th St
89,[170 -02] 38309,On S Homan Ave From W 53rd St To W 54th Pl
90,[170 -02] 38309,On S Kenneth Ave From W 55th St To W 54th St
91,[170 -02] 38309,On S Michigan Ave From E Marquette Rd To E 66th Pl
92,[170 -02] 38309,On S Oakley Ave From W 50th St To W 50th Pl
93,[170 -02] 38309,On S Springfield Ave From W 59th Pl To W 61st Pl
94,[170 -02] 38309,On S Union Ave From W 106th St To W 105th St
95,[170 -02] 38309,On N Richmond St From N Lincoln Ave To W Peterson Ave
96,[170 -02] 38309,On W Glenlake Ave From N Keeler Ave To N Tripp Ave
97,[170 -02] 38309,On W Cullerton St From S Karlov Ave To S Kostner Ave
98,[170 -02] 38309,On W Cortland St From N Long Ave To N Luna Ave
99,[170 -02] 38309,On W Carmen Ave From N Kostner Ave To N Kilbourn Ave
100,[170 -02] 38309,On W 46th St From S Pulaski Rd To S Keeler Ave
101,[170 -02] 38309,On W 91st St From S Hoyne Ave To S Claremont Ave
102,[170 -02] 38309,On W 60th St From S Pulaski Rd To S Springfield Ave
103,[170 -02] 38309,On W 54th St From S Kedzie Ave To S St Louis Ave
104,[170 -02] 38309,On W Leland Ave From N Kedzie Ave To N Spaulding Ave
105,[170 -02] 38309,On W Argyle St From N Damen Ave To N Hoyne Ave
106,[170 -02] 38309,On W Moffat St From N Leavitt St To N Hoyne Ave
107,[170 -02] 38309,W 106th St And S Sacramento Ave
108,[170 -02] 38309,On W School St From N Olcott Ave To N Oleander Ave
109,[170 -02] 38309,On W Wabansia Ave From N Narragansett Ave To N Nashville Ave
110,[170 -02] 38309,On W Waveland Ave From N Lotus Ave To N Long Ave
111,[170 -02] 38309,E 84th St And S Bennett Ave
112,[170 -02] 38309,N Natoma Ave And W Argyle St
113,[170 -02] 38309,N Rutherford Ave And W Argyle St
114,[170 -02] 38309,S Bell Ave And W 91st St
115,[170 -02] 38309,S Claremont Ave And W 91st St
116,[170 -02] 38309,S Eggleston Ave And W 105th St
117,[170 -02] 38309,S Oakley Ave And W 91st St
118,[170 -02] 38309,On W 32nd St From S Racine Ave To S Throop St
119,[170 -02] 38309,On W Peterson Ave From N Melvina Ave To N Nagle Ave
120,[170 -02] 38309,On W 116th St From S Lafayette Ave To S State St
121,[170 -02] 38309,On N Sauganash Ave From W Peterson Ave To N Keeler Ave
122,[170 -02] 38309,On S Yale Ave From W 120th St To W 122nd St
123,[170 -02] 38309,W Ainslie St And N Menard Ave
124,[170 -02] 38309,On N Campbell Ave From W Belle Plaine Ave To W Warner Ave
125,[170 -02] 38309,On N Hoyne Ave From W Argyle St To W Ainslie St
126,[170 -02] 38309,On N Ionia Ave From W Fitch Ave To N Tonty Ave
127,[170 -02] 38309,On N Keeler Ave From W Ainslie St To W Argyle St
128,[170 -02] 38309,On N Kennison Ave From N Kilbourn Ave To N Kolmar Ave
129,[170 -02] 38309,On N Kostner Ave From W Foster Ave To W Carmen Ave
130,[170 -02] 38309,On N Laramie Ave From W Diversey Ave To W Nelson St
131,[170 -02] 38309,On N Leavitt St From W Armitage Ave To W Moffat St
132,[170 -02] 38309,On N Leclaire Ave From W Parker Ave To W Montana St
133,[170 -02] 38309,On N Lotus Ave From W Bloomingdale Ave To W Cortland St
134,[170 -02] 38309,On W 106th St From S Green St To S Peoria St
135,[170 -02] 38309,On N Melvina Ave From N Milwaukee Ave To W Peterson Ave
136,[170 -02] 38309,On N Ottawa Ave From W Touhy Ave To W Chase Ave
137,[170 -02] 38309,On N Spaulding Ave From W Lawrence Ave To W Leland Ave
138,[170 -02] 38309,On S Cregier Ave From E 83rd Pl To E 86th St
139,[170 -02] 38309,On S Green St From W 106th St To W 107th St
140,[170 -02] 38309,On S Harvard Ave From W 120th St To W 122nd St
141,[170 -02] 38309,On S Hoyne Ave From W 101st St To W 102nd St
142,[170 -02] 38309,On S Lawndale Ave From W 61st St To W 63rd St
143,[170 -02] 38309,On S Oakley Ave From W 101st St To W 102nd St
144,[170 -02] 38309,On S Princeton Ave From W 120th St To W 122nd St
145,[170 -02] 38309,On S St Louis Ave From W 83rd Pl To W 85th St
146,[170 -02] 38309,On S Wabash Ave From E Marquette Rd To E 66th Pl
147,[170 -02] 38309,On N Monticello Ave From W Ohio St To W Ferdinand St
148,[170 -02] 38309,W Maypole Ave And N Hamlin Blvd
149,[170 -02] 38309,W Pensacola Ave And N Campbell Ave
150,[170 -02] 38309,W Washington Blvd And N Pulaski Rd
151,[170 -02] 39468,W Leland Ave And N Clark St
152,[170 -02] 39561,On E 96th St From S Houston Ave To S Marquette Ave
153,[170 -02] 39567,On N Northwest Hwy From N Oshkosh Ave To N Ozark Ave
154,[170 -02] 39567,On N Ozark Ave From N Northwest Hwy To N Olmsted Ave
155,[170 -02] 39567,On N Olympia Ave From N Oketo Ave To N Northwest Hwy
156,[170 -02] 39567,On W Pratt Ave From N Oliphant Ave To N Oriole Ave
157,[170 -02] 39568,On S Normal Ave From W 35th St To W Pershing Rd
158,[170 -02] 39568,On W 37th St From S Parnell Ave To S Normal Ave
159,[170 -02] 39575,W Lawrence Ave And N Cicero Ave
160,[170 -02] 40123,On N Leamington Ave From W Ferdinand St To W Ohio St
161,[170 -02] 40131,On S Troy St From W Jackson Blvd To W Fifth Ave
162,[170 -02] 40131,On W Jackson Blvd From S Kedzie Ave To S Albany Ave
163,[170 -02] 40131,On W Fifth Ave From S Troy St To S Albany Ave
164,[170 -02] 40133,On N Paulina St From W Farragut Ave To W Berwyn Ave
165,[170 -02] 40133,On W Farragut Ave From N Ravenswood Ave To N Paulina St
166,[170 -02] 40133,W Berwyn Ave And N Paulina St
167,[170 -02] 40133,On N Ravenswood Ave From W Balmoral Ave To W Farragut Ave
168,[170 -02] 40133,On W Winona St From N Winchester Ave To N Wolcott Ave
169,[170 -02] 40413,E 95th St And S Torrence Ave
170,[170 -02] 40462,On E 80th St From S Woodlawn Ave To S University Ave
171,[170 -02] 40462,On E 88th St From S Burley Ave To S Mackinaw Ave
172,[170 -02] 40462,On S St Lawrence Ave From E 83rd St To E 84th St
173,[170 -02] 40462,On W 62nd St From S Hoyne Ave To S Seeley Ave
174,[170 -02] 40462,On W 92nd St From S Normal Ave To S Eggleston Ave
175,[170 -02] 40462,On W 93rd St From S Wentworth Ave To S La Salle St
176,[170 -02] 40462,S Hermitage Ave And W 58th St
177,[170 -02] 40462,On E 86th St From S St Lawrence Ave To S Champlain Ave
178,[170 -02] 40462,On E 94th St From S Woodlawn Ave To S Kimbark Ave
179,[170 -02] 40462,On W 122nd St From S Loomis St To S Bishop St
180,[170 -02] 40462,On W 91st St From S Normal Ave To S Eggleston Ave
181,[170 -02] 40462,On W 93rd St From S Normal Ave To S Eggleston Ave
182,[170 -02] 40462,On W 94th St From S Normal Ave To S Eggleston Ave
183,[170 -02] 40566,Ashe Cps - 8505 S Ingleside Ave
184,[170 -02] 40566,Cook Cps - 8150 S Bishop St
185,[170 -02] 40566,Davis N Cps - 3014 W 39th Pl
186,[170 -02] 40566,Field Cps - 7019 N Ashland Blvd
187,[170 -02] 40566,Gunsaulus Cps - 4420 S Sacramento Ave
188,[170 -02] 40566,Leland Cps - 5221 W Congress Pkwy
189,[170 -02] 40566,Morton Cps - 431 N Troy St
190,[170 -02] 40566,Orozco Cps - 1940 W 18th St
191,[170 -02] 40566,Wadsworth Cps - 6420 S University Ave
192,[170 -02] 40566,Westcott Cps - 409 W 80th St
193,[170 -02] 40566,Cather Cps - 2908 W Washington Blvd
194,[170 -02] 40566,Corkery Cps - 2510 S Kildare Ave
195,[170 -02] 40566,Fernwood Cps - 10041 S Union Ave
196,[170 -02] 40566,Grissom Cps - 12810 S Escanaba Ave
197,[170 -02] 40566,Heroes Cps - 8344 S Commercial Ave
198,[170 -02] 40566,Morrill Cps - 6011 S Rockwell St
199,[170 -02] 40566,Nash Cps - 4837 W Erie St
200,[170 -02] 40566,Schmid Cps - 9755 S Greenwood Ave
201,[170 -02] 40566,Webster Cps - 4055 W Arthington St
202,[170 -02] 40700,On N Hiawatha Ave From W Peterson Ave To N Forest Glen Avee
203,[170 -02] 40700,On N Monitor Ave From N Indian Rd To W Peterson Ave
204,[170 -02] 40700,On N Oriole Ave From W Jarvis Ave To W Birchwood Ave
205,[170 -02] 40700,On N Overhill Ave From W Jarvis Ave To W Sherwin Ave
206,[170 -02] 40700,On W Devon Ave From N Spokane Ave To N Caldwell Ave
207,[170 -02] 40700,On W Peterson Ave From N Monitor Ave To N Austin Ave
208,[170 -02] 40700,On N Leoti Ave From N Le Mai Ave To N Spokane Ave
209,[170 -02] 40700,On N Octavia Ave From W Jarvis Ave To W Birchwood Ave
210,[170 -02] 40700,On N Ottawa Ave From W Jarvis Ave To W Chase Ave
211,[170 -02] 40700,On N Spokane Ave From N Leoti Ave To W Devon Ave
212,[170 -02] 40700,On W Jarvis Ave From N Oriole Ave To N Overhill Ave
213,[170 -02] 40700,W Peterson Ave And N Kilbourn Ave
214,[170 -02] 40717,On S Damen Ave From W 100th St To W 101st St
215,[170 -02] 40717,On S Seeley Ave From W 101st St To W 101st Pl
216,[170 -02] 40717,On W 116th St From S Western Ave To S Maplewood Ave
217,[170 -02] 40717,10100 S Seeley Ave
218,[170 -02] 40717,On S Leavitt St From W 101st St To W 102nd St
219,[170 -02] 40717,On W 101st St From S Damen Ave To S Bell Ave
220,[170 -02] 40717,On W 118th St From S Western Ave To S Maplewood Ave
221,[170 -02] 40718,On E 61st St From S Langley Ave To S Rhodes Ave
222,[170 -02] 40718,On E 75th St From S Kingston Ave To S Phillips Ave
223,[170 -02] 40718,On S Drexel Ave From E 65th St To E 64th St
224,[170 -02] 40718,On S Kingston Ave From E 74th St To E 75th St
225,[170 -02] 40718,850-910 E 64th St
226,[170 -02] 40718,On E 72nd St From S Phillips Ave To S Exchange Ave
227,[170 -02] 40718,On S Colfax Ave From E 74th St To E 75th St
228,[170 -02] 40718,On S Ingleside Ave From E 65th St To E 64th St
229,[170 -02] 40718,On S Phillips Ave From E 73rd St To E 72nd St
230,[170 -02] 40773,On N Allen Ave From N Kimball Ave To N Milwaukee Ave
231,[170 -02] 40773,On N Elbridge Ave From W Barry Ave To N Drake Ave
232,[170 -02] 40773,On W Barry Ave From N Bernard St To N Elbridge Ave
233,[170 -02] 40773,On W Barry Ave From N Elbridge Ave To N Drake Ave
234,[170 -02] 40773,N Lavergne Ave And W Cornelia Ave
235,[170 -02] 40773,On N Bernard St From W Belmont Ave To W Barry Ave
236,[170 -02] 40773,On N Kilbourn Ave From W Diversey Ave To W Parker Ave
237,[170 -02] 40773,On W Barry Ave From N Bernard St To N Gresham Ave
238,[170 -02] 40773,On W Eddy St From W Cornelia Ave To W Newport Ave
239,[170 -02] 40774,On E 92nd St From S Cottage Grove Ave To S St Lawrence Ave
240,[170 -02] 40774,On E 96th St From S Avalon Ave To S Woodlawn Ave
241,[170 -02] 40774,E 92nd St And S St Lawrence Ave
242,[170 -02] 40774,On E 94th St From S Dr Martin Luther King Jr Dr To S Wabash Ave
243,[170 -02] 40774,On S Avalon Ave From E 97th St To E 96th St
244,[170 -02] 40774,E 95th St And S Cottage Grove Ave
245,[170 -02] 40775,On S Ada St From W 79th St To W 77th St
246,[170 -02] 40775,On W 77th St From S Ada St To S Loomis Blvd
247,[170 -02] 40775,On W 77th St From S Loomis Blvd To S Bishop St
248,[170 -02] 40775,On W 86th St From S Bishop St To S Laflin St
249,[170 -02] 40775,On W 86th St From S Elizabeth St To S Throop St
250,[170 -02] 40775,On W 86th St From S Racine Ave To S Elizabeth St
251,[170 -02] 40775,On S Bishop St From W 85th St To W 86th St
252,[170 -02] 40775,On W 77th St From S Ada St To S Throop St
253,[170 -02] 40775,On W 79th St From S Throop St To S Ada St
254,[170 -02] 40775,On W 86th St From S Bishop St To S Loomis Blvd
255,[170 -02] 40775,On W 86th St From S Laflin St To S Justine St
256,[170 -02] 40776,On E 80th St From S Evans Ave To S Vernon Ave
257,[170 -02] 40776,On E 82nd St From S Merrill Ave To S Jeffery Blvd
258,[170 -02] 40777,On N Leavitt St From W Lawrence Ave To W Leland Ave
259,[170 -02] 40777,N Seeley Ave And W Birchwood Ave
260,[170 -02] 40777,On W Hollywood Ave From N Rockwell St To N Washtenaw Ave
261,[170 -02] 40778,On E 101st St From S Avenue M To S Avenue L
262,[170 -02] 40778,On E 104th St From S Avenue O To S Avenue E
263,[170 -02] 40778,On S Avenue G From E 106th St To E 103rd St
264,[170 -02] 40778,On E 101st St From S Avenue N To S Avenue M
265,[170 -02] 40778,On S Avenue F From E 104th St To E 105th St
266,[170 -02] 40778,E 101st St And S Ewing Ave
267,[170 -02] 40779,On S Perry Ave From W 112th St To W 113th St
268,[170 -02] 40779,On W 113th Pl From S Wentworth Ave To S Perry Ave
269,[170 -02] 40779,On W 128th Pl From S Halsted St To S Emerald Ave
270,[170 -02] 40779,On W 128th Pl From S Lowe Ave To S Wallace St
271,[170 -02] 40779,On W 112th Pl From S Perry Ave To S State St
272,[170 -02] 40779,On W 128th Pl From S Emerald Ave To S Lowe Ave
273,[170 -02] 40779,On W 128th Pl From S Halsted St To S Peoria St
274,[170 -02] 40779,S Halsted St And W 128th Pl
275,[170 -02] 40780,On S Central Park Ave From W 86th St To W 87th St
276,[170 -02] 40780,On S Lawndale Ave From W 85th St To W 86th St
277,[170 -02] 40780,On W 68th St From S Kolmar Ave To S Kilbourn Ave
278,[170 -02] 40780,W 85th St And S Lawndale Ave
279,[170 -02] 40780,On S Kolmar Ave From W Marquette Rd To W 68th St
280,[170 -02] 40780,On W 60th St From S Monitor Ave To S Mason Ave
281,[170 -02] 40780,On W 86th St From S Lawndale Ave To S Central Park Ave
282,[170 -02] 41000,On E 85th St From S Indiana Ave To S St Lawrence Ave
283,[170 -02] 41000,On E 96th St From S Houston Ave To S Commercial Ave
284,[170 -02] 41000,On E 87th St From S State St To S Wabash Ave
285,[170 -02] 41001,E 71st St And S Jeffery Blvd
286,[170 -02] 41002,On W 72nd St From S Avers Ave To S Hamlin Ave
287,[170 -02] 41005,N Ottawa Ave And W Waveland Ave
288,[170 -02] 41927,On N Lamon Ave From W Bloomingdale Ave To W Concord Pl
289,[170 -02] 41927,On N Laramie Ave From W Bloomingdale Ave To W Concord Pl
